210134,Mr,James Anderson,IT,IT151,GENL111,IT153,GENL114
202500,Mr,Michael Johnson,IT,GENL081,GENL111,IT154,GENL114
202501,Ms,Emily Smith,FBA,ACC101,GENL111,BUS102,GENL114
202503,Mr,Daniel Brown,FOS,BIO101,GENL112,CHEM102,PHY103
202506,Ms,Olivia Davis,FRS,REL101,GENL113,ETH102,GENL114
202510,Mr,Matthew Wilson,FOE,ENGR101,GENL114,MATH102,GENL114
202514,Ms,Sophia Taylor,IT,IT105,GENL115,MATH103,IT159
202519,Mr,Christopher Moore,FBA,ACC102,GENL112,BUS103,GENL114
202523,Ms,Ava Thomas,FOS,BIO102,GENL113,MATH104,GENL114
202528,Mr,Joseph Martin,FRS,REL102,GENL114,PHIL101,ETH103
202532,Ms,Isabella Jackson,FOE,ENGR102,GENL115,CAD102,GENL114
202537,Mr,Andrew White,IT,IT110,GENL116,CS107,GENL114
202541,Ms,Mia Harris,FBA,ACC103,GENL117,ECON102,MKT105
202548,Mr,David Thompson,FOS,BIO103,GENL118,CHEM104,GENL114
202552,Ms,Charlotte Garcia,FRS,REL103,GENL111,HIST102,GENL114
202559,Mr,Joshua Martinez,FOE,ENGR103,GENL112,MATH107,CAD103
202563,Ms,Amelia Robinson,IT,IT115,GENL113,MATH108,GENL114
202571,Mr,Benjamin Clark,FBA,ACC104,GENL114,BUS105,GENL114
202578,Ms,Evelyn Rodriguez,FOS,BIO104,GENL115,CHEM105,PHY109
202584,Mr,Samuel Lewis,FRS,REL104,GENL116,PHIL102,GENL114
202590,Ms,Harper Lee,FOE,ENGR104,GENL117,MATH110,GENL114
202597,Mr,Alexander Walker,IT,IT120,GENL118,CS112,IT174
202603,Ms,Abigail Hall,FBA,ACC105,GENL111,BUS106,GENL114
202611,Mr,William Allen,FOS,BIO105,GENL112,CHEM106,GENL114
202618,Ms,Ella Young,FRS,REL105,GENL113,HIST103,PHIL103
202624,Mr,Henry King,FOE,ENGR105,GENL114,MATH112,GENL114
202631,Ms,Grace Wright,IT,IT125,GENL115,MATH113,GENL114
202639,Mr,Lucas Scott,FBA,ACC106,GENL116,BUS107,ECON105
202645,Ms,Victoria Green,FOS,BIO106,GENL117,CHEM107,GENL114
202652,Mr,Jack Baker,FRS,REL106,GENL118,HIST104,GENL114
202660,Ms,Lily Adams,FOE,ENGR106,GENL111,MATH115,CAD106
202667,Mr,Gabriel Nelson,IT,IT130,GENL112,CS117,GENL114
202675,Ms,Hannah Carter,FBA,ACC107,GENL113,BUS108,GENL114
202682,Mr,Logan Mitchell,FOS,BIO107,GENL114,CHEM108,PHY115
202691,Ms,Zoe Perez,FRS,REL107,GENL115,HIST104,GENL114
202703,Mr,Noah Roberts,FOE,ENGR107,GENL116,MATH117,CAD107
202718,Ms,Natalie Turner,IT,IT135,GENL117,MATH118,GENL114
202726,Mr,Elijah Phillips,FBA,ACC108,GENL118,BUS109,MKT110
202739,Ms,Avery Campbell,FOS,BIO108,GENL111,CHEM109,GENL114
202751,Mr,Ryan Parker,FRS,REL108,GENL112,HIST105,GENL114
202768,Ms,Scarlett Evans,FOE,ENGR108,GENL113,MATH120,GENL114
